freq, min_avg, max, min, illegal, max_avg
505, 0.000000, 0, 0, 0, 0.000000
506, 0.000000, 0, 0, 0, 0.000000
507, 0.000000, 0, 0, 0, 0.000000
508, 0.000000, 0, 0, 0, 0.000000
509, 0.000000, 0, 0, 0, 0.000000
510, 0.000000, 0, 0, 0, 0.000000
512, 0.000000, 0, 0, 0, 0.000000
513, 0.000000, 0, 0, 0, 0.000000
514, 0.000000, 0, 0, 0, 0.000000
515, 8.848901, 27, 1, 493, 20.170418
517, 8.474668, 27, 1, 543, 20.179487
519, 8.619271, 27, 1, 555, 20.332994
520, 9.146249, 27, 1, 493, 20.853171
521, 9.374076, 27, 1, 446, 20.925181
522, 9.652381, 27, 1, 432, 21.003698
524, 9.740093, 27, 1, 430, 20.897472
525, 9.754717, 27, 1, 459, 20.787105
526, 9.896224, 27, 1, 492, 20.808184
527, 10.063212, 27, 1, 573, 20.919210
529, 10.049379, 27, 1, 565, 20.966272
530, 10.033752, 27, 1, 653, 20.956184
531, 9.950142, 27, 1, 677, 20.926566
532, 9.866325, 27, 1, 686, 20.969745
533, 9.809742, 27, 1, 681, 20.840358
534, 9.752485, 27, 1, 679, 21.142557
535, 9.737109, 27, 1, 664, 21.351281
537, 9.691978, 27, 1, 637, 21.651367
538, 9.349850, 27, 1, 602, 21.979167
539, 9.151940, 27, 1, 608, 22.051935
540, 9.026946, 27, 1, 584, 22.016178
542, 8.676896, 27, 1, 569, 22.098327
544, 8.415258, 27, 1, 593, 22.090313
545, 8.250497, 27, 1, 570, 22.086737
546, 8.194541, 27, 1, 572, 22.070025
548, 8.118552, 27, 1, 584, 22.052843
550, 7.964825, 27, 1, 614, 22.008534
551, 7.820995, 27, 1, 644, 21.990471
552, 7.800446, 27, 1, 641, 21.990471
553, 7.778906, 27, 1, 648, 21.988967
555, 7.805089, 27, 1, 640, 21.960060
556, 7.771302, 27, 1, 618, 21.949601
557, 7.689698, 27, 1, 600, 21.990471
558, 7.665511, 27, 1, 578, 21.992481
559, 7.626888, 27, 1, 557, 21.984453
560, 7.612633, 27, 1, 560, 21.950697
562, 7.580661, 27, 1, 558, 21.936784
563, 7.451845, 27, 1, 539, 21.991976
564, 7.436606, 27, 1, 560, 21.944251
565, 7.294409, 27, 1, 560, 21.964947
567, 7.265150, 27, 1, 557, 21.970456
569, 7.028183, 27, 1, 530, 21.991496
570, 6.921487, 27, 1, 520, 22.001487
571, 6.892822, 27, 1, 500, 22.051929
573, 6.812438, 27, 1, 498, 22.138584
575, 6.830138, 27, 1, 491, 22.092977
576, 6.719220, 27, 1, 456, 22.151470
577, 6.754054, 27, 1, 437, 22.080534
578, 6.659433, 27, 1, 382, 22.147835
580, 6.712181, 27, 1, 366, 22.077493
581, 6.683771, 27, 1, 316, 22.073508
582, 6.693517, 27, 1, 306, 22.119388
583, 6.657901, 27, 1, 309, 22.100346
584, 6.631851, 27, 1, 306, 22.105964
585, 6.608278, 27, 1, 298, 22.119130
587, 6.556650, 27, 1, 276, 22.146233
588, 6.038537, 27, 1, 248, 22.038916
589, 5.912926, 27, 1, 235, 22.141732
590, 5.785381, 27, 1, 241, 22.118661
592, 5.715056, 27, 1, 244, 22.261319
594, 5.739024, 27, 1, 201, 22.104874
595, 5.571429, 27, 1, 204, 22.082555
596, 5.823674, 27, 1, 241, 22.236533
598, 5.323833, 27, 1, 403, 22.140127
600, 5.811695, 27, 1, 268, 22.225172
504, 0.000000, 0, 0, 0, 0.000000
505, 0.000000, 0, 0, 0, 0.000000
506, 0.000000, 0, 0, 0, 0.000000
507, 0.000000, 0, 0, 0, 0.000000
508, 0.000000, 0, 0, 0, 0.000000
509, 0.000000, 0, 0, 0, 0.000000
510, 0.000000, 0, 0, 0, 0.000000
512, 0.000000, 0, 0, 0, 0.000000
513, 0.000000, 0, 0, 0, 0.000000
514, 0.000000, 0, 0, 0, 0.000000
515, 0.000000, 0, 0, 0, 0.000000
