seed, avg, max, min
1,325582107.000001,325582107.000001,325582107.000001
2,406200974.700000,407099119.000001,404687022.500002
3,392769219.450006,393459750.500042,391728015.999979
4,408369813.349988,409570327.499899,406640624.499996
5,401461714.000025,402730560.000055,400777434.500023
6,384188195.799989,384836854.999971,383203120.499966
7,369527421.000003,369527434.500023,369527419.500001
8,405367411.099989,405930648.500022,404561607.499986
9,367379747.899999,367574294.500001,366601560.999989
10,325582107.000001,325582107.000001,325582107.000001
