freq, avg, max, min
340, 0.000000, 0, 0
341, 0.000000, 0, 0
342, 0.000000, 0, 0
344, 0.000000, 0, 0
345, 0.000000, 0, 0
347, 0.000000, 0, 0
348, 0.000000, 0, 0
350, 0.000000, 0, 0
351, 0.000000, 0, 0
353, -549755813888.000000, 0, -549755813888
354, -137438953472.000000, 549755813888, -549755813888
355, -18957097030.620689, 549755813888, -549755813888
356, -36650387592.533333, 549755813888, -549755813888
357, 27487790694.400002, 549755813888, -549755813888
359, 27487790694.400002, 549755813888, -549755813888
360, 27487790694.400002, 549755813888, -549755813888
362, 27487790694.400002, 549755813888, -549755813888
363, -49977801262.545456, 549755813888, -549755813888
364, 27487790694.400002, 549755813888, -549755813888
365, -49977801262.545456, 549755813888, -549755813888
366, -49977801262.545456, 549755813888, -549755813888
367, 27487790694.400002, 549755813888, -549755813888
369, -49977801262.545456, 549755813888, -549755813888
370, -32338577287.529411, 549755813888, -549755813888
372, 0.000000, 549755813888, -549755813888
373, -41379469862.537636, 549755813888, -549755813888
375, -23902426690.782608, 549755813888, -549755813888
376, -26687175431.456310, 549755813888, -549755813888
378, -29556764187.526882, 549755813888, -549755813888
379, -29556764187.526882, 549755813888, -549755813888
380, -26687175431.456310, 549755813888, -549755813888
381, -26687175431.456310, 549755813888, -549755813888
382, -29556764187.526882, 549755813888, -549755813888
384, -26687175431.456310, 549755813888, -549755813888
385, -21990232555.520000, 549755813888, -549755813888
387, -42288908760.615387, 549755813888, -549755813888
388, -23098983776.806725, 549755813888, -549755813888
389, -35468117025.032257, 549755813888, -549755813888
390, -28505857016.414814, 549755813888, -549755813888
391, -35468117025.032257, 549755813888, -549755813888
392, -28505857016.414814, 549755813888, -549755813888
394, -35468117025.032257, 549755813888, -549755813888
395, -78769028856830299015069570212823040.000000, 549755813888, -10633818895672090366457931776183762944
397, 78769066416812259431638646204137472.000000, 10633829036881727896724522671603449856, -5070607236617925446210666102784
398, 150834562308977472881707175691419648.000000, 10633829036886563599426521535510216704, -10633829036886563598273598931392004096
400, 111851523549503023431876083712.000000, 10633829036886563600002982287813640192, -10633829036881727896148063018811129856
401, -70891145654683095813594428517384192.000000, 10633829036886563600002982287813640192, -10633829036881727897300983973662425088
402, 135462984059885595391561937637605376.000000, 10633829036886563599426521535510216704, -10633829036886563598273598931392004096
404, 5136454411545823274184153759744.000000, 10633991296158557090488249221053153280, -10633829036881727897300983973662425088
405, 66888867517115800644884890052984832.000000, 10633986225556156195440926005890383872, -10633829036886563598273598931392004096
406, 66889888015681795533356033269301248.000000, 10633986225556156196017387307949359104, -10633829036886563598273598931392004096
407, 66893970010037021906801210431635456.000000, 10633986225556156196017387307949359104, -10633829036886563598273598931392004096
408, 66893970009945784310612642989342720.000000, 10633986225556156196017387307949359104, -10633829036886563598273598931392004096
409, 14586213086023194821853951557632.000000, 10633991296158557109511454047066128384, -10633829036881727897300983973662425088
410, 66893970009519996563903279118942208.000000, 10633986225556156196017387307949359104, -10633829036886563598273598931392004096
412, 66893970009489587106297768923103232.000000, 10633986225556156196017387307949359104, -10633829036886563598273598931392004096
413, 66893970009428758967714711676649472.000000, 10633986225556156196017387307949359104, -10633829036886563598273598931392004096
414, 14586212929020463268118208184320.000000, 10633991296158557109511454047066128384, -10633829036881727897300983973662425088
415, 66893970009428758967714711676649472.000000, 10633986225556156196017387307949359104, -10633829036886563598273598931392004096
417, 14586212929020465519918021869568.000000, 10633991296158557109511454047066128384, -10633829036881727897300983973662425088
419, 14586212929020470023517649240064.000000, 10633991296158557109511454047066128384, -10633829036881727897300983973662425088
420, -65627054074723246593786560953450496.000000, 10633991296158557109511454047066128384, -10633829036881727897300983973662425088
421, 477937463093076152304589001151479808.000000, 10633986225556156196017387307949359104, -10633829036886563598273598931392004096
422, 335816923301961319740057744241065984.000000, 10633986225556156196017387307949359104, -10633829036886563599426520985754664960
424, 213756595096467769557585017274630144.000000, 10633986225556156196017387307949359104, -10633829036886563599426520985754664960
425, 346231156148512750349268167061143552.000000, 10633986225556156196017387307949359104, -10633829036886563599426520985754664960
426, 296774434234134716600876169592569856.000000, 10633991296158557109511454596821417984, -10633829036886563599426520985754664960
427, 439035434022959871081559206765002752.000000, 10633991296158557109511454596821417984, -10633829036886563598273600030903369728
429, 97583603646928487930561328429662208.000000, 10633991296158557109511454047066128384, -10633829036881727897300984523418238976
430, 698969947778806507607173199330017280.000000, 10633986225556156215040592133962334208, -10633829036881727897300984523418238976
431, 1335442620423228931164685592789254144.000000, 10633986225556156196593848610008596480, -10633829036886563598273600030903369728
432, 904908155470126210141689579780964352.000000, 10633986225556156215040592133962334208, -30572081643776235863424170799847702528
433, 1159974325219498381314006863063285760.000000, 11963046891457157357395033193288040448, -30572081643776235863424170799847702528
434, 2292019668249359869602479268478058496.000000, 54498510086458228886115568537273368576, -10633829036881727897300984523418501120
435, 2211273571148386664921718696427126784.000000, 53169119831396786031879734308580098048, -53168957572119805703437409170955173888
437, 2769257762333061658428167817189654528.000000, 54498510086458228886115568537273368576, -43864523860902072690098181152014598144
438, 1978420169197666794126988501770567680.000000, 54498342756579149894585227627110334464, -53168957572119956801222520573783965696
439, 2664557824838792299865926282552279040.000000, 54498510086458228887268490041880215552, -43864528931509460422021698033928896512
440, 2652781269328083850480698390738894848.000000, 54498510086458228887268490041880215552, -43864528931509460422021698033928896512
442, 2219214732156146508368670861090095104.000000, 54498342756579149894585227627110334464, -43864528931504473584569043073708064768
447, 2277927774188342398268901524053688320.000000, 54498342756579149894585227627110334464, -43864528931504473584569043073708064768
452, 2287423872476318897706699023785656320.000000, 54498342756579149894585227627110334464, -43864528931504473584569043073708064768
457, 2780338420646909023840848025833439232.000000, 54498510086457171077176327241352413184, -43864528931510669347841312663103602688
463, 1381899873935629381721909961282289664.000000, 63802959009485582489774786387122454528, -63802948868280780662786652634011926528
469, -226858690325312777508378770742968320.000000, 63802953938880763726370872371689029632, -63802953938880763726370872371689029632
475, -6396224285682202625577416869881577472.000000, 53169282090673615245243126436345937920, -43864528931509460420868775910846758912
480, -4074520242364020015889755155566952448.000000, 53169282090673464130596538449548804096, -43864523860907059489000022760778366976
485, -551635304540441792889678834876547072.000000, 53169282090673615245243126436345937920, -42535295865118516858164979797252636672
490, -218014839195217945838333807097282560.000000, 53169282090673615245243126436345937920, -42535295865117307932921826203848933376
495, -218027665994725199114676721418240000.000000, 53169282090673615245243126436345937920, -42535295865117307932921826203848933376
500, -1072341386929495638269232572073508864.000000, 53170575094285696941951945249958920192, -42535295865117307932921826203848933376
505, -222836013468319935633357318421217280.000000, 53170417906849208663497716265046245376, -42535295865117307932921826203848933376
510, -1109935768564034478708544145396334592.000000, 53170250575732038515225162093938343968, -43864523860902223804672711759522430976
515, -1148573198986049088186247219773440000.000000, 53210820465536907047265458893403193344, -43864523860902223805825632989251502080
520, 3235189788214191082589325473525792768.000000, 127938189523695751926707877535063473152, -128935100379327219081268229329638917120
