seed, avg, max, min
1,495487948.850007,496477633.500035,494531010.999991
2,499640208.250020,500461528.000111,498437499.499996
3,491026573.500014,491591575.000036,490621125.500184
4,493534543.500013,494592285.499952,492559006.000024
5,486743511.799990,487574352.499925,485738372.500055
6,510224596.600014,510851576.999994,509179686.999996
7,507201833.899989,508020566.000050,506249760.999991
8,497481397.000001,498428258.999983,496480560.000055
9,500545395.649991,501336669.999970,500268539.499957
10,463258884.750009,463808441.500102,462300872.500055
