freq, max, avg
592, 41088, 14877.275779
594, 34176, 13218.699702
595, 49152, 11913.061804
596, 49152, 11589.229405
598, 50340, 11301.054941
600, 50491, 11240.774019
565, 0, 0.000000
567, 0, 0.000000
569, 0, 0.000000
570, 0, 0.000000
571, 0, 0.000000
573, 0, 0.000000
575, 0, 0.000000
576, 0, 0.000000
577, 0, 0.000000
578, 32768, 32755.200000
580, 32768, 32768.000000
581, 32768, 32078.315789
582, 32896, 30852.252252
583, 32896, 31036.303030
584, 32896, 28805.002299
585, 32896, 27357.907285
587, 32928, 23359.211268
588, 40960, 19538.992491
589, 40960, 17952.000000
590, 41088, 15706.614674
592, 41088, 15215.150860
594, 34176, 12919.326194
595, 41344, 12099.425010
596, 50304, 11730.879851
598, 50491, 11454.109460
600, 50048, 11245.587755
