freq, min_avg, max, min, illegal, max_avg
565, 0.000000, 0, 0, 0, 0.000000
567, 0.000000, 0, 0, 0, 0.000000
569, 0.000000, 0, 0, 0, 0.000000
570, 0.000000, 0, 0, 0, 0.000000
571, 0.000000, 0, 0, 0, 0.000000
573, 0.000000, 0, 0, 0, 0.000000
575, 0.000000, 0, 0, 0, 0.000000
576, 0.000000, 0, 0, 0, 0.000000
577, 31.000000, 32, 31, 0, 31.666667
578, 31.000000, 32, 31, 0, 31.375000
580, 31.000000, 32, 31, 0, 31.708333
581, 30.079137, 32, 15, 0, 30.985612
582, 29.302326, 32, 9, 0, 30.670543
583, 28.524064, 32, 9, 0, 29.967914
584, 27.367816, 32, 9, 0, 29.272031
585, 24.665339, 32, 9, 0, 26.966135
587, 23.449153, 32, 9, 0, 26.334746
588, 21.974061, 32, 9, 0, 25.409556
589, 19.883860, 32, 9, 0, 24.053980
590, 18.839960, 32, 9, 0, 23.467036
592, 17.993268, 32, 5, 0, 23.325404
594, 16.732050, 32, 1, 0, 23.679503
595, 15.965331, 32, 1, 0, 23.832820
596, 15.439116, 32, 1, 0, 24.028850
598, 13.908867, 32, 1, 0, 24.425757
600, 12.278340, 32, 1, 0, 24.791835
567, 0.000000, 0, 0, 0, 0.000000
569, 0.000000, 0, 0, 0, 0.000000
570, 0.000000, 0, 0, 0, 0.000000
571, 0.000000, 0, 0, 0, 0.000000
573, 0.000000, 0, 0, 0, 0.000000
575, 0.000000, 0, 0, 0, 0.000000
576, 31.000000, 31, 31, 0, 31.000000
577, 31.000000, 32, 31, 0, 31.250000
578, 31.000000, 32, 31, 0, 31.500000
580, 31.000000, 32, 31, 0, 31.500000
581, 30.006211, 32, 15, 0, 31.378882
582, 29.401198, 32, 9, 0, 30.811377
583, 27.108392, 32, 9, 0, 29.052448
584, 27.676030, 32, 9, 0, 29.256554
585, 24.768799, 32, 9, 0, 26.912458
587, 23.566275, 32, 9, 0, 26.266779
588, 21.263933, 32, 9, 0, 24.909033
589, 20.105915, 32, 9, 0, 24.188169
590, 19.156122, 32, 9, 0, 23.617857
592, 18.385782, 32, 5, 0, 23.427488
594, 16.674194, 32, 1, 0, 23.572581
595, 15.387439, 32, 1, 0, 23.920923
596, 14.962606, 32, 1, 0, 24.002962
598, 14.168813, 32, 1, 0, 24.267525
600, 12.417582, 32, 1, 0, 24.956044
565, 0.000000, 0, 0, 0, 0.000000
567, 0.000000, 0, 0, 0, 0.000000
569, 0.000000, 0, 0, 0, 0.000000
570, 0.000000, 0, 0, 0, 0.000000
571, 0.000000, 0, 0, 0, 0.000000
573, 0.000000, 0, 0, 0, 0.000000
575, 0.000000, 0, 0, 0, 0.000000
576, 0.000000, 0, 0, 0, 0.000000
577, 31.000000, 32, 31, 0, 32.000000
578, 31.000000, 32, 31, 0, 31.400000
580, 30.058824, 32, 15, 0, 31.058824
581, 30.075145, 32, 15, 0, 31.086705
582, 29.732673, 32, 9, 0, 30.834983
583, 28.845730, 32, 9, 0, 30.413223
584, 26.755725, 32, 9, 0, 28.583206
585, 25.136416, 32, 9, 0, 27.375723
587, 22.995502, 32, 9, 0, 25.927286
588, 21.819205, 32, 9, 0, 25.200662
589, 19.510572, 32, 9, 0, 23.754513
590, 18.744085, 32, 9, 0, 23.483341
592, 18.069120, 32, 5, 0, 23.306104
594, 16.527054, 32, 1, 0, 23.608818
595, 15.724242, 32, 1, 0, 23.873106
596, 14.227599, 32, 1, 0, 24.255197
598, 13.393855, 32, 1, 0, 24.433310
600, 12.397976, 32, 1, 0, 24.762563
565, 0.000000, 0, 0, 0, 0.000000
567, 0.000000, 0, 0, 0, 0.000000
569, 0.000000, 0, 0, 0, 0.000000
570, 0.000000, 0, 0, 0, 0.000000
571, 0.000000, 0, 0, 0, 0.000000
573, 0.000000, 0, 0, 0, 0.000000
575, 0.000000, 0, 0, 0, 0.000000
576, 0.000000, 0, 0, 0, 0.000000
577, 31.000000, 32, 31, 0, 32.000000
