seed, avg, max, min
1,344386984.300000,346338010.500013,342160614.999981
2,345883779.750009,347106748.499985,344594558.499995
3,358946271.850020,360776592.000011,356826395.000098
4,366244470.250015,367356636.500012,364999385.000017
5,354089204.549998,355866051.000000,351949310.000055
6,354820286.250015,356835945.000057,351953124.499996
7,352279170.700024,353914360.499974,349938965.000038
8,342682371.250006,344640476.499990,339257811.999996
9,335825315.000020,337916070.000002,334283444.999961
10,356371343.249994,359919167.500006,353530472.999922
