freq, min, max, avg
504, -235552, 178448, -8927.964827
505, -232448, 173664, -11561.321603
506, -235552, 178448, -10085.940401
507, -233200, 549376, 20996.018813
508, -233200, 549376, 24725.191058
509, -232448, 561520, 24497.515640
510, -235552, 178448, -10752.068409
512, -235552, 232176, -10852.220811
513, -235552, 232176, -10898.274548
514, -232448, 183712, -12526.301490
515, -233264, 582392, 29559.623504
517, -233200, 549376, 29201.084555
519, -235552, 211984, -9132.714390
520, -232448, 228096, -6337.465917
521, -235552, 226656, -4497.791891
522, -235552, 226008, -3614.264778
524, -235552, 243200, -2373.840215
525, -235552, 243200, -1056.996824
526, -235552, 243200, -878.926948
527, -235552, 243200, -948.253115
529, -232448, 249888, -1887.016858
530, -233264, 619808, 44552.524182
531, -233264, 615712, 44392.143381
532, -233264, 1002488, 44185.851001
533, -224560, 1011180, 45992.716414
534, -231836, 1078674, 47716.992915
535, -231836, 1112680, 50733.519423
537, -231836, 1085808, 53636.903762
538, -224560, 1117619, 77642.782609
539, -231836, 1112616, 77876.758612
540, -224556, 1120180, 86973.705423
542, -224588, 1143072, 96163.585979
544, -228412, 1140000, 100128.811920
545, -224300, 1117395, 100936.616756
546, -228688, 1127075, 100563.388862
548, -243998, 1118016, 96582.456766
550, -256286, 1126563, 89105.100635
551, -256286, 1126563, 74463.418173
552, -256286, 1126563, 69411.734734
553, -303664, 1113160, 61604.832926
555, -303664, 1113160, 65971.060576
556, -292256, 1126579, 78059.789448
557, -292256, 1102896, 76149.643869
558, -278096, 1049520, 72342.161700
559, -278096, 1010480, 69362.994138
560, -278096, 909248, 69549.919394
562, -278096, 909248, 70330.423547
563, -278096, 909248, 70771.728872
564, -292000, 888223, 70609.559844
565, -292000, 888223, 70405.346849
567, -278096, 909248, 71305.071586
569, -254175, 888239, 70320.277968
570, -254175, 893824, 71466.232047
571, -369280, 909264, 72093.852956
573, -381283, 895944, 68260.014167
575, -452331, 895944, 36773.012702
576, -458214, 895944, -22210.500733
577, -457958, 846169, -25630.334636
578, -496555, 833884, -31079.114314
580, -473679, 768746, -31977.508061
581, -458214, 234485, -31183.704446
582, -462326, 234485, -32494.942355
583, -473679, 235735, -32780.435271
