freq, min_avg, max, min, illegal, max_avg
375, 0.000000, 0, 0, 0, 0.000000
376, 0.000000, 0, 0, 0, 0.000000
378, 0.000000, 0, 0, 0, 0.000000
379, 0.000000, 0, 0, 0, 0.000000
380, 0.000000, 0, 0, 0, 0.000000
381, 0.000000, 0, 0, 0, 0.000000
382, 0.000000, 0, 0, 0, 0.000000
384, 0.000000, 0, 0, 0, 0.000000
385, 149.000000, 149, 149, 0, 149.000000
387, 149.000000, 245, 149, 1, 197.000000
388, 149.818182, 245, 88, 6, 218.818182
389, 122.428571, 245, 88, 5, 213.000000
390, 123.636364, 245, 88, 5, 207.454545
391, 130.476190, 245, 88, 13, 208.428571
392, 128.464286, 245, 88, 16, 210.714286
394, 127.256410, 245, 88, 24, 214.641026
395, 129.947368, 245, 88, 28, 215.350877
397, 128.078125, 245, 88, 31, 214.093750
398, 129.650602, 245, 88, 46, 214.650602
400, 126.043011, 245, 88, 57, 209.376344
401, 119.290323, 245, 88, 79, 208.241935
402, 120.696970, 245, 88, 82, 207.825758
404, 124.130137, 245, 88, 86, 208.979452
405, 125.253247, 245, 88, 91, 211.097403
406, 119.372671, 245, 88, 105, 208.254658
407, 122.890244, 245, 53, 103, 209.878049
408, 116.273743, 256, 53, 133, 209.452514
409, 118.241026, 256, 53, 127, 208.841026
410, 112.387500, 256, 53, 150, 198.516667
412, 110.441860, 256, 53, 179, 198.887043
413, 106.867971, 256, 53, 239, 193.105134
414, 108.853933, 256, 53, 227, 195.184270
415, 109.155556, 256, 53, 222, 195.933333
417, 109.218818, 256, 53, 202, 199.251641
419, 112.360691, 256, 53, 183, 199.555076
420, 108.707527, 256, 53, 246, 197.539785
421, 110.864516, 256, 53, 224, 198.116129
422, 115.133621, 256, 53, 180, 196.646552
424, 115.198276, 256, 53, 180, 196.635776
425, 117.263383, 256, 53, 188, 197.982869
426, 113.241379, 256, 31, 208, 197.653017
427, 112.961864, 256, 31, 244, 199.582627
429, 116.134904, 256, 31, 193, 194.331906
430, 110.324094, 256, 31, 227, 198.336887
431, 103.991632, 256, 31, 319, 202.284519
432, 102.180085, 256, 31, 272, 201.830508
433, 97.433404, 256, 31, 301, 202.799154
434, 90.347280, 256, 31, 264, 205.311715
435, 85.985356, 256, 31, 281, 205.395397
437, 83.878661, 256, 23, 321, 207.748954
438, 76.238683, 256, 23, 333, 212.664609
439, 70.450505, 256, 20, 360, 220.846465
440, 66.786853, 256, 17, 407, 223.085657
442, 62.708087, 256, 17, 318, 223.664694
444, 48.351670, 256, 17, 385, 223.687623
445, 44.843137, 256, 17, 603, 224.490196
446, 44.905512, 256, 17, 614, 226.419291
447, 43.543137, 256, 17, 627, 225.362745
449, 44.940828, 256, 17, 432, 225.923077
450, 41.361493, 256, 10, 341, 229.318271
451, 40.275591, 256, 10, 531, 227.572835
452, 40.248031, 256, 5, 550, 227.879921
454, 33.740668, 256, 5, 837, 229.557957
455, 26.690945, 256, 5, 685, 232.679134
456, 24.086275, 256, 5, 1006, 234.623529
457, 21.709234, 256, 5, 751, 234.528487
458, 21.974510, 256, 5, 584, 236.229412
459, 18.974510, 256, 5, 1004, 235.529412
460, 20.533333, 256, 5, 985, 236.239216
462, 20.829412, 256, 5, 1029, 237.029412
463, 21.976471, 256, 5, 1006, 238.929412
464, 21.354902, 256, 5, 967, 239.898039
465, 21.262745, 256, 5, 1037, 239.990196
467, 20.845098, 256, 5, 1046, 240.384314
469, 19.836935, 256, 5, 870, 240.408644
470, 19.876471, 256, 5, 860, 241.229412
