freq, avg, max, min
378, 0.000000E+00, 0, 0
379, 0.000000E+00, 0, 0
380, 0.000000E+00, 0, 0
381, 0.000000E+00, 0, 0
382, 0.000000E+00, 0, 0
384, 0.000000E+00, 0, 0
385, 5.651576E+14, 288230376151711744, 0
387, 5.651576E+14, 288230376151711744, 0
388, 2.085048E+34, 5316911983139682381369407688039989248, -81129638395717215764310424289280
389, 4.772332E+29, 5316993112778078099738093503071125504, -5316911983139644602149296762540523520
390, 1.042532E+34, 5316911983139682381369407688039989248, -5316830853501267774399446338511044608
391, -1.590777E+29, 5316911983139682381369407688039989248, -5316993112778059208830992551545667584
392, 3.127611E+34, 5316993112778078098008693653974810624, -5316830853501267774399446338511044608
394, 1.042627E+34, 5316993112778078099738093503071125504, -5316911983139663491615228241121378304
395, 3.127707E+34, 5316993112778096987762855508707377152, -5316911983139663491615228241121378304
397, 9.382865E+34, 5316993112778096988051085884859088896, -5316993112778059208830992551545667584
398, 1.459559E+35, 5316993112778096988051085884859088896, -5316993112778059208830992551545667584
400, 1.042770E+34, 5316993112778096987762855508707377152, -5316911983139663492479919369576513536
401, 3.127635E+35, 5316993112778096988051085884859088896, -5316911983139644602437527138692235264
402, 3.023382E+35, 5316993112778096988051085884859088896, -5316911983139682379640007838943674368
404, 3.127641E+35, 5316993112778096988051085884859088896, -5316911983139682379928238215095386112
405, 4.378681E+35, 5316993112778096989204024981651980288, -5316911983139682381081159719702233088
406, 4.899952E+35, 5316993112778096989204024981651980288, -5316993112778078097143984933333630976
407, 4.378700E+35, 5316993112778096988915794605500268544, -5316993112778078097143984933333630976
408, 3.648922E+35, 5316993112778096988051085884859088896, -5316993112778078098296924030126522368
409, 5.212719E+35, 5316993112778096988051085884859088896, -5316993112778078098296924030126522368
410, -9.278437E+35, 5316993112778096988051085884859088896, -340282366920938463463374607431768211456
412, 3.961756E+35, 340282366960552544720506776228607295488, -340282366920938463463374607431768211456
413, -4.159678E+36, 340282366960552544720506776228607295488, -340282366920938463463374607431768211456
414, -4.263928E+36, 340282366960552544720506776228607295488, -340282366920938463463374607431768211456
415, -5.212632E+36, 340282366925890223621092589283735240704, -340282366920938463463374607431768211456
417, -7.203863E+36, 340282366965504304877071836575766151168, -340282366925890223620516128531364708352
419, -7.037058E+36, 340282366965504304877071836575766151168, -340282366925890223620516128531364708352
420, -7.172587E+36, 340282366965504304877071836575766151168, -340282366920938463463374607431835320320
421, -7.255993E+36, 340282366920938463463951068184071634944, -340282366920938463463374607431768211456
422, -8.277673E+36, 340282366960552544720506776228607295488, -340282366920938463463374607431835320320
424, -8.944893E+36, 340282366960552544720506776228607295488, -340282366920938463463374607431835320320
425, -7.725134E+36, 5316993112778096989204007389465935872, -340282366920938463463374607431768211456
426, -8.725956E+36, 340282366960552544720506776228607295488, -340282366920938463463374607431835320320
427, -6.599186E+36, 175458176573247347609204180341835726848, -340282366920938463463374607431768211456
429, -7.725098E+36, 340282366960552544720506776228607295488, -340282366920938463463374607431835320320
430, -3.356912E+36, 175460610464876874813757480289788002304, -340282366920938463463374607431768211456
431, -1.146675E+36, 340282366960552544720506776228607295488, -340282366920938463463374607431835320320
432, 7.090770E+35, 175460691592038181526871099797391048704, -340282366920938463463374607431835320320
433, 3.242370E+36, 175460772721677805058795808727926571008, -340282366920938463463374607431768211456
434, 8.319551E+36, 175460772724153685136501737409633878016, -340282366920938463463374607431768211456
435, 1.465831E+37, 175460772724153685136501737411781361664, -340282366920938463463374607431835320320
437, 1.058196E+37, 175460772721676577243798633731663560704, -340282366920938463463374607431835320320
438, 1.804650E+37, 175460772724153628468968915575175643136, -340282366920938463463374607431768211456
439, 2.491901E+36, 175460772719200697165227591706888634368, -340282366920938463463374607431835320320
440, 2.929550E+37, 175460772724153647357569874454619652096, -340282366920938539021238333346091630592
442, 2.106316E+36, 175460772724151248396838010028438847488, -340282366920938539021238333346024521728
444, 2.189327E+36, 175460772721676615022730215213848592384, -340282366921557357925153571654894352640
445, 9.070139E+35, 196723228357376696383783779374752333824, -340282366921557357925153571654894352640
446, 2.825271E+36, 196723147227738300665414952822232809472, -340282366921557433483017297569217773568
447, 9.487168E+35, 196725662249006223587184034672795418624, -340282366921557357925153571654894352640
449, 4.441199E+36, 196728258397435509890752180302863368192, -340282366921557433483017297569217773568
450, 3.951218E+36, 233944127258145288079552621509469011968, -340282366921557433483017297569217773568
451, 4.649711E+36, 233941774498631188926766659867330446336, -340282366921557357925153571654894352640
452, 5.108424E+36, 233946966797966812758785842621777478656, -340282366921557357925153571654894352640
454, 3.242203E+36, 239258443092855684157353426170201211904, -340282366921557357925153571654894352640
455, 6.870213E+36, 239261120372161306215982140648926970880, -340282368149592667951407984899637903356
456, 4.827168E+36, 233941449980077587170455402527974226944, -340282366921556224409623730350366130172
457, 4.942023E+36, 239261039242522740492708301900672369696, -340282368149592667951407984899637903356
458, 8.914298E+36, 239258443092855684156200654201256180736, -340282368149592667951407984899637903356
459, 1.033271E+37, 239263716518114599103895847216833634304, -340282366921556224408470791253573238780
460, 1.604636E+37, 239260958112884401445907949059179511808, -340282691440109807260040043518354782464
462, 8.164499E+36, 239263716518114636881674938202902766592, -340282366921556224408470791253573238780
463, 7.708095E+36, 239263716518114636881674938202902766592, -340282691440109807260040043518354782464
464, 8.792672E+36, 239302658745791588129327218705414717440, -340282691440109807260040043518354782464
465, 1.075232E+37, 239302658745791625908258940925088071680, -340282691399876831558422733067491208704
467, 9.710854E+36, 239302658745791625908258940925088071680, -340282691440109807260040043518354782464
469, 1.303654E+37, 239305265036664787444633479356428025952, -340282691399876831558422733067491208704
470, 1.029468E+37, 239302658745791588129327218705414717440, -340282691440109807260040043518354782464
471, 1.348483E+37, 239305265036664749665701757136754671712, -340282691399876831558422733067491208704
472, 1.089935E+37, 239305254894222102247892820799776621536, -340282691440109807278486787592064334080
474, 1.348482E+37, 239305265036664787444633479356428025952, -340282691399876831558422733067491208704
475, 2.457736E+37, 239302577617391075780981282462932894720, -340282690766051531444308032319139606016
476, 1.117041E+37, 239305336025098381335996017019843477472, -340282691440109807278486787592064334080
477, 1.096190E+37, 239305336025098381335996017011253542880, -340282691440109807278486787592064334080
479, 1.103488E+37, 239305336025098381336284388124893609952, -340282691440109807278486787592064334080
484, 3.405431E+37, 239305336025098362446512211880241496032, -340282609636413116985200289119810874880
489, 3.109346E+37, 239302658747339032067899730387319915488, -340282609676027198242332457916582850048
495, 3.057222E+37, 239302567476495834524902797298798429024, -340282366921556224409623994233157189628
500, 4.447966E+37, 239305263767813619985482427401934774288, -340282691450052013218709267548695689216
505, 2.743417E+37, 244616893452177624740955371541404581888, -340282366921556224409768109421233045500
510, 2.854998E+37, 244616903593227684061897924829421502592, -340282366921556224409768109421233045500
515, 3.223908E+37, 361591725619292876894608345952969294816, -340282366920938463444783748169915690752
520, 2.526343E+37, 388132141513560115155369435959824244832, -340282387208299827253595693216763473664
525, 2.956124E+37, 409461845410762906103962458387512295552, -489155902449315686596161195346162085888
530, 2.104288E+37, 409446530250375057166438001670960676832, -340283097087528243493067795153243079680
535, 2.423738E+37, 409446529616704480667770293778213208032, -340282387203348067096454172117162786560
540, 2.488626E+37, 404080281940164019725881405254144196704, -340282529215032356319111520009567862528
545, 2.916246E+37, 406738727790529054368310360940421923164, -361466939960825361620780084434634276352
550, 5.122280E+37, 400186024435532936000467794099463422592, -340282366915985512073759441283377529344
555, 6.593022E+37, 412132764277745459768015560735737890064, -340448517238903882309111435297673445306
560, 6.356340E+37, 407102050568874226452473793324154251006, -340448517238903882309120442460420964282
565, 6.731862E+37, 498414520102870309611765255078814213502, -340284809800168609448612012363463262210
570, 8.272771E+37, 495595105366490541609448743223029686183, -225807168848977349820495134048634435752
575, 7.975502E+37, 495595115516206266281826398481537850295, -273950779802012966798911999086637807120
580, 7.807356E+37, 476578808850531535890520487484452978620, -297253164136317947212886904654608195086
590, 8.794796E+37, 525769452305679156965088275597467185538, -395527775565702031237931562851146649384
600, 0.000000E+00, 0, 0
375, 0.000000E+00, 0, 0
376, 0.000000E+00, 0, 0
378, 0.000000E+00, 0, 0
379, 0.000000E+00, 0, 0
380, 0.000000E+00, 0, 0
381, 0.000000E+00, 0, 0
382, 0.000000E+00, 0, 0
384, 0.000000E+00, 0, 0
385, -1.042532E+34, 0, -5316911983139663491326980272783622144
387, 0.000000E+00, 0, 0
388, 1.042564E+34, 5316911983139682381081159719702233088, -5316911983139644601861066386388811776
389, 6.363109E+29, 5316993112778096986609934004100530176, -5316911983139663491326980272783622144
390, 2.085064E+34, 5316911983139682381081159719702233088, -5316911983139644601861066386388811776
391, -1.042516E+34, 5316911983139682381081159719702233088, -5316911983139682379640007838943674368
392, 3.127723E+34, 5316993112778096988051085884859088896, -5316911983139663491326980272783622144
394, 1.042643E+34, 5316993112778096988051085884859088896, -5316911983139663491326980272783622144
395, 8.340509E+34, 5316993112778096988915777013314224128, -5316993112778078098296924030126522368
397, 5.212738E+34, 5316993112778096988051085884859088896, -5316993112778078098296924030126522368
398, 1.251056E+35, 5316993112778096988051085884859088896, -5316993112778078098296924030126522368
400, 1.459581E+35, 5316993112778096988051085884859088896, -5316993112778078098296924030126522368
401, 1.772344E+35, 5316993112778096988051085884859088896, -5316993112778096987762855508707377152
402, 1.980853E+35, 5316993112778096988051085884859088896, -5316993112778096987762855508707377152
404, 3.648882E+35, 5316993112778096988051085884859088896, -5316993112778078098296924030126522368
405, 3.857404E+35, 5316993112778096988051085884859088896, -5316993112778078098296924030126522368
406, 2.085119E+35, 5316993112778096988051085884859088896, -5316993112778096987762855508707377152
407, 4.170154E+35, 5316993112778096988051085884859088896, -5316993112778078098296924030126522368
408, 2.606383E+35, 5316993112778096988051085884859088896, -5316993112778059209983914056152514560
409, 4.378684E+35, 5316993112778096988051085884859088896, -5316993112778078098585154406278234112
410, 6.046773E+35, 5316993112778096988051085884859088896, -5316993112778078098296924030126522368
412, -1.073792E+36, 5316993112778096988051085884859088896, -340282366925890223619939667779128393728
413, -4.201377E+36, 340282366925890223620516128531364708352, -340282366915986703306233086332238823424
414, -2.324820E+36, 340282529219829373933293707054247051264, -340282366925890223619939667779128393728
415, -3.482025E+36, 340282529180215292676161538257542184960, -340282366915986703306233086332238823424
417, -2.585449E+36, 340282529219829373933293707054247051264, -340282366925890223619939667779128393728
419, -3.367346E+36, 340282366960552544720506776228607295488, -340282366920938463463951068184071634944
420, -3.992866E+36, 340282366925890223620516128531431817216, -340282366920938463463951068184071634944
421, -4.660086E+36, 340282366925890223620516128531431817216, -340282366920938463463951068184071634944
422, -3.992865E+36, 340282366925890223620516128531431817216, -340282366920938463463951068184071634944
424, -4.837313E+36, 340282366920938463463951068184071634944, -340282366915986703306233086332238823424
425, -5.911126E+36, 340282366920938463463951068184071634944, -340282366915986703306233086332238823424
426, -6.130049E+36, 5316993112778096988915759421128179712, -340282366915986703306233086332238823424
427, -5.577514E+36, 5316993112778096988915777013314224128, -340282366920938463463951068184071634944
429, -6.015331E+36, 175460772721677748390686244668335718400, -340282366915986703306233086332238823424
430, -2.637492E+36, 175460772721677748390686244668335718400, -340282366915986703306233086332238823424
431, -4.024071E+36, 175460772721676577243798633731663626240, -340282366920938463463374607431835320320
432, 2.648188E+36, 175460772721676577243798633731663626240, -340282366920938463463374607431835320320
433, 3.315414E+36, 175460772721676577243798633731663626240, -340282366920938463463374607431835320320
434, 7.985881E+36, 175460772721677805059372269480229994496, -340282366915986703306233086332238823424
435, 1.303187E+37, 175460772721677805059372269480230027264, -340282366915986703306233086332238823424
437, 2.016286E+37, 175460772721677767280152316880109961216, -340282366920938463463374607431835320320
438, 2.525025E+37, 175460772721676596133552795588543643648, -340282366915986703306233086332238823424
