freq, avg, max
289, 0.000000E+00, 0
290, 0.000000E+00, 0
291, 0.000000E+00, 0
292, 0.000000E+00, 0
293, 0.000000E+00, 0
294, 0.000000E+00, 0
295, 0.000000E+00, 0
296, 0.000000E+00, 0
297, 0.000000E+00, 0
298, 0.000000E+00, 0
299, 0.000000E+00, 0
300, 7.585417E+23, 77371252455336267181195264
301, 1.972208E+24, 77371252455336267181195264
302, 3.792708E+24, 77371252455336267181195264
303, 4.247833E+24, 77371252455336267181195264
304, 6.220042E+24, 77371252455336267181195264
305, 8.343959E+24, 77371252455336267181195264
306, 1.046788E+25, 77371252455336267181195264
307, 1.092300E+25, 77371252455336267181195264
308, 1.031617E+25, 77371252455336267181195264
309, 1.031617E+25, 77371252455336267181195264
310, 1.031617E+25, 77371252455336267181195264
311, 1.031617E+25, 77371252455336267181195264
312, 1.092300E+25, 77371252455336267181195264
313, 1.092300E+25, 77371252455336267181195264
314, 1.590880E+29, 81129638414606681695789005144064
315, 1.113555E+30, 243388915243820045087367015432192
316, 1.145360E+31, 243388915243820045087367015432192
317, 1.479423E+31, 243388915243820045087367015432192
318, 2.927030E+31, 243388915262709511018845596286976
319, 3.102016E+31, 243389069986324955755502274347008
320, 3.165647E+31, 243389069986324955759902451564544
322, 3.308817E+31, 243389070005214421691379958677504
323, 4.231468E+31, 243389070005214421691379958677504
325, 5.262291E+33, 2658618250691918454260341961375350784
326, 6.724836E+35, 170141426849229751936287663221240758272
328, 6.724836E+35, 85070672859795678109535956051395872768
329, 9.341122E+36, 255211612891812918228346096082745293824
330, 1.918522E+37, 170141345779167163955118066271791346688
331, 2.318593E+37, 255211612891812918232957782099025198080
332, 2.301912E+37, 170141183480198882218332120368524824576
334, 2.568800E+37, 255211937469632993833239062530238708736
335, 2.694165E+37, 170141426869031956870798661137635143680
337, 2.710715E+37, 170141345739398377967395410672296655872
338, 2.836079E+37, 170141345739398377967395410672296655872
339, 3.084265E+37, 170141426869031919091866798180472909824
340, 2.899115E+37, 170141345739398377967395410672296655872
341, 2.919442E+37, 170141345739398377967395410672296655872
342, 2.939771E+37, 170141345739398377967395410672296655872
344, 2.906170E+37, 170141345739398377967395410672296655872
345, 2.806905E+37, 170141345739398377967395410672296655872
347, 2.743767E+37, 171470411436374571431459825849747961856
348, 2.962039E+37, 171460189121737159262617839489456803840
350, 3.004025E+37, 212686863919386382959577920980595574784
351, 3.145423E+37, 171460189121737159262617839489456803840
353, 3.362797E+37, 171439419934303019952103717504139923456
354, 3.506568E+37, 171439419934303019952103717504139923456
355, 3.555588E+37, 186071150222454082896018866453931360256
356, 3.535376E+37, 180754238239314419404403638212809981952
357, 3.552322E+37, 186071150222454082896018866453931360256
359, 3.416177E+37, 176756250787725065315609945495595577344
360, 3.368456E+37, 176756250787725065315609945495595577344
362, 3.258958E+37, 171439338824779903159298285636924869632
363, 3.324064E+37, 170141183460469231731687303715884105728
364, 3.303144E+37, 170141183460469231731687303715884105728
365, 3.328463E+37, 171439338824779903159298285636924869632
366, 3.326956E+37, 171439338824779903159298285636924869632
367, 3.260538E+37, 170141183460469231731687303715884105728
369, 3.245438E+37, 132922799539106616369854892181606045696
370, 3.220218E+37, 135633340817735453968213367530612319232
372, 3.165565E+37, 135726721031618384994211845175678922752
373, 3.229981E+37, 132922799539725586389497582319055607808
375, 3.224353E+37, 132922799539725586389497582319055607808
376, 3.184580E+37, 136921030358716725977127279769567951872
378, 3.270813E+37, 170130717576723802256532389596620978176
379, 3.280092E+37, 170130717576723802256532389596620978176
380, 3.294591E+37, 170130717576723802256532389596620978176
381, 3.310421E+37, 255242766673815286524522128683575670784
382, 3.390834E+37, 171459864424607004506659606135779624960
384, 3.390918E+37, 171459864424607004506659606135779624960
385, 3.430064E+37, 202042655359307212681378673162612375552
387, 3.474011E+37, 212676479325586539664609129644855132160
388, 3.494702E+37, 175458095443608895223302531957005475840
389, 3.499571E+37, 180775007426748558714917760198126862336
390, 3.566158E+37, 180775007426748558714917760198126862336
395, 3.738219E+37, 175458095443608895223302531957005475840
400, 3.933181E+37, 171483311125088322978549817633008442368
405, 3.623736E+37, 175455580406869101892251997384366097408
410, 2.339714E+37, 178058056786491087668886406013454383104
415, 2.294132E+37, 94363423865463978590279503929616629760
420, 3.608698E+37, 215515935561464992836965802531251415104
425, 3.917540E+37, 174208780122475467479199835384204230656
430, 4.289479E+37, 175476349532424958689645867413506952128
435, 3.824130E+37, 175454931407518937347527621565238212608
440, 3.875778E+37, 175504663856909944346136421711000635392
445, 4.207862E+37, 212510082278045477280892497448528836544
450, 4.249167E+37, 219462403334992857635443685876082707456
455, 4.781087E+37, 218011402053495095671591317018645170976
460, 4.577856E+37, 219462484464630063316305767310791052304
465, 4.818337E+37, 225411158283715192606299829897930055408
470, 4.849050E+37, 225079012277014162642850556204132949756
475, 5.069609E+37, 225078870929020477333278673332762402556
480, 5.209128E+37, 300785060692530475378799082322961545236
485, 5.286105E+37, 300764291505096340790669457605799352340
490, 5.701174E+37, 246346681120860796216390443591211769596
500, 5.812170E+37, 247342222739864304922662271088328782712
510, 5.846595E+37, 251132046759804932273941250664752345440
520, 6.087241E+37, 290164290925608473104406841632983083800
530, 7.020599E+37, 287468774456644812101300573055841227138
540, 6.939022E+37, 270059445096074793189630070848843088580
550, 7.026825E+37, 301486067453164191714934459895953667240
560, 7.202901E+37, 293821597259378288006960473843246517457
570, 7.884979E+37, 283187766954843523141626467893900922609
580, 7.596816E+37, 299120590962819577048521457839524403625
590, 7.747530E+37, 284899223843827671935508282724045857618
288, 0.000000E+00, 0
289, 0.000000E+00, 0
290, 0.000000E+00, 0
291, 0.000000E+00, 0
292, 0.000000E+00, 0
293, 0.000000E+00, 0
294, 0.000000E+00, 0
295, 0.000000E+00, 0
296, 0.000000E+00, 0
297, 0.000000E+00, 0
298, 0.000000E+00, 0
299, 0.000000E+00, 0
300, 1.517083E+23, 77371252455336267181195264
301, 1.517083E+24, 77371252455336267181195264
302, 4.702958E+24, 77371252455336267181195264
303, 5.309792E+24, 77371252455336267181195264
304, 8.343959E+24, 77371252455336267181195264
305, 1.031617E+25, 77371252455336267181195264
306, 1.092300E+25, 77371252455336267181195264
307, 1.122642E+25, 77371252455336267181195264
